297,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,2369,2554,1,1,2212
Worst case,2369,2554,10,17,2212
Average case,2369,2554,7,9,2212

594,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,5365,6148,1,1,5057
Worst case,5365,6148,11,20,5057
Average case,5365,6148,8,11,5057

891,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,8586,9181,1,1,8124
Worst case,8586,9181,12,19,8124
Average case,8586,9181,8,11,8124

1188,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,11879,15378,1,1,11226
Worst case,11879,15378,12,27,11226
Average case,11879,15378,9,13,11226

1485,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,15249,17210,1,1,14440
Worst case,15249,17210,13,25,14440
Average case,15249,17210,9,12,14440

1782,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,18810,22966,1,1,17871
Worst case,18810,22966,13,25,17871
Average case,18810,22966,9,13,17871

2079,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,22479,24246,1,1,21364
Worst case,22479,24246,13,26,21364
Average case,22479,24246,9,12,21364

2376,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,26205,30182,1,1,24962
Worst case,26205,30182,14,24,24962
Average case,26205,30182,9,12,24962

2673,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,29931,35204,1,1,28536
Worst case,29931,35204,13,27,28536
Average case,29931,35204,9,13,28536

2970,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,33709,41932,1,1,32125
Worst case,33709,41932,14,27,32125
Average case,33709,41932,9,14,32125

