297,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,2459,43956,1,1,2450
Worst case,2459,43956,9,296,2450
Average case,2459,43956,7,149,2450

594,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,5511,176121,1,1,5501
Worst case,5511,176121,10,593,5501
Average case,5511,176121,8,297,5501

891,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,8778,396495,1,1,8768
Worst case,8778,396495,10,890,8768
Average case,8778,396495,8,446,8768

1188,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,12209,705078,1,1,12198
Worst case,12209,705078,11,1187,12198
Average case,12209,705078,9,594,12198

1485,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,15773,1101870,1,1,15762
Worst case,15773,1101870,11,1484,15762
Average case,15773,1101870,9,743,15762

1782,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,19337,1586871,1,1,19326
Worst case,19337,1586871,11,1781,19326
Average case,19337,-823323,9,891,19326

2079,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,22932,2160081,1,1,22920
Worst case,22932,2160081,12,2078,22920
Average case,22932,94199,10,1040,22920

2376,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,26793,2821500,1,1,26781
Worst case,26793,2821500,12,2375,26781
Average case,26793,-793792,10,1188,26781

2673,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,30654,3571128,1,1,30642
Worst case,30654,3571128,12,2672,30642
Average case,30654,357534,10,1337,30642

2970,InsertAVL,InsertBST,FindAVL,FindBST,BalanceAVL
Best case,34515,4408965,1,1,34503
Worst case,34515,4408965,12,2969,34503
Average case,34515,70614,10,1485,34503

